Typical Measured Spectrum of Semrock NF03-405/488/561/635E Optical Filter       	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
597.4	0.96266
597.6	0.96196
597.8	0.96163
598	0.96094
598.2	0.96036
598.4	0.95978
598.6	0.95987
598.8	0.96021
599	0.96033
599.2	0.96149
599.4	0.96282
599.6	0.96347
599.8	0.96417
600	0.96388
600.2	0.96345
600.4	0.96224
600.6	0.96
600.8	0.9575
601	0.95458
601.2	0.95144
601.4	0.94842
601.6	0.9462
601.8	0.94469
602	0.94326
602.2	0.94378
602.4	0.94417
602.6	0.94613
602.8	0.94797
603	0.95033
603.2	0.95269
603.4	0.95441
603.6	0.95701
603.8	0.95871
604	0.96018
604.2	0.96135
604.4	0.96271
604.6	0.96355
604.8	0.96446
605	0.96472
605.2	0.96531
605.4	0.96524
605.6	0.96501
605.8	0.96442
606	0.96332
606.2	0.96257
606.4	0.96126
606.6	0.96034
606.8	0.959
607	0.95839
607.2	0.95805
607.4	0.95783
607.6	0.95838
607.8	0.95949
608	0.9602
608.2	0.96057
608.4	0.962
608.6	0.96259
608.8	0.96276
609	0.96247
609.2	0.96248
609.4	0.96171
609.6	0.96153
609.8	0.96081
610	0.96067
610.2	0.96062
610.4	0.96129
610.6	0.96185
610.8	0.96286
611	0.9639
611.2	0.96485
611.4	0.96649
611.6	0.96709
611.8	0.9674
612	0.96753
612.2	0.96698
612.4	0.96627
612.6	0.96498
612.8	0.964
613	0.96244
613.2	0.96188
613.4	0.96133
613.6	0.962
613.8	0.96296
614	0.96435
614.2	0.96637
614.4	0.96769
614.6	0.96756
614.8	0.9677
615	0.96583
615.2	0.96405
615.4	0.96264
615.6	0.96289
615.8	0.96395
616	0.96497
616.2	0.96143
616.4	0.94868
616.6	0.91458
616.8	0.84145
617	0.70837
617.2	0.51364
617.4	0.41321
617.6	0.2313
617.8	0.1137
618	0.05277
618.2	0.02504
618.4	0.01239
618.6	0.00569
618.8	0.00237
619	0.00125
619.2	6.76E-04
619.4	3.84E-04
619.6	2.27E-04
619.8	1.35E-04
620	8.30E-05
620.2	5.11E-05
620.4	3.20E-05
620.6	2.03E-05
620.8	1.35E-05
621	8.91E-06
621.2	5.82E-06
621.4	3.93E-06
621.6	2.88E-06
621.8	2.12E-06
622	1.50E-06
622.2	1.05E-06
622.4	7.66E-07
622.6	6.29E-07
622.8	5.35E-07
623	4.59E-07
623.2	3.96E-07
623.4	3.43E-07
623.6	2.97E-07
623.8	1.77E-07
624	1.21E-07
624.2	1.56E-07
624.4	2.01E-07
624.6	1.74E-07
624.8	1.35E-07
625	1.28E-07
