Typical Measured Spectrum of Semrock Di03-R405/488/532/635 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

560.8	0.96253
561.0	0.96546
561.2	0.96673
561.4	0.96748
561.6	0.96814
561.8	0.97074
562.0	0.97076
562.2	0.97107
562.4	0.97036
562.6	0.97116
562.8	0.97137
563.0	0.97088
563.2	0.96959
563.4	0.96848
563.6	0.96683
563.8	0.96474
564.0	0.96309
564.2	0.96195
564.4	0.96095
564.6	0.96042
564.8	0.95869
565.0	0.95842
565.2	0.95911
565.4	0.96045
565.6	0.96287
565.8	0.96169
566.0	0.96222
566.2	0.96222
566.4	0.9639
566.6	0.96749
566.8	0.96983
567.0	0.96928
567.2	0.97084
567.4	0.97367
567.6	0.97387
567.8	0.97275
568.0	0.97458
568.2	0.97395
568.4	0.97138
568.6	0.97213
568.8	0.97061
569.0	0.9704
569.2	0.97146
569.4	0.9706
569.6	0.96953
569.8	0.96849
570.0	0.96918
570.2	0.96852
570.4	0.96828
570.6	0.96696
570.8	0.96646
571.0	0.96537
571.2	0.9667
571.4	0.96652
571.6	0.96774
571.8	0.96713
572.0	0.96598
572.2	0.96596
572.4	0.96533
572.6	0.96419
572.8	0.96277
573.0	0.96325
573.2	0.96312
573.4	0.96421
573.6	0.96343
573.8	0.96338
574.0	0.96341
574.2	0.9629
574.4	0.9622
574.6	0.96107
574.8	0.96031
575.0	0.95999
575.2	0.95867
575.4	0.95909
575.6	0.95817
575.8	0.95799
576.0	0.95615
576.2	0.95731
576.4	0.9571
576.6	0.96067
576.8	0.96267
577.0	0.96197
577.2	0.96228
577.4	0.96302
577.6	0.96302
577.8	0.96294
578.0	0.96322
578.2	0.96167
578.4	0.96095
578.6	0.96186
578.8	0.96304
579.0	0.96352
579.2	0.96191
579.4	0.96329
579.6	0.96486
579.8	0.96549
580.0	0.96594
580.2	0.9642
580.4	0.96381
580.6	0.96559
580.8	0.96573
581.0	0.96562
581.2	0.96617
581.4	0.9667
581.6	0.96678
581.8	0.96817
582.0	0.96844
582.2	0.96923
582.4	0.97066
582.6	0.97167
582.8	0.9729
583.0	0.97382
583.2	0.97493
583.4	0.97523
583.6	0.97339
583.8	0.97203
584.0	0.9703
584.2	0.97136
584.4	0.96932
584.6	0.96694
584.8	0.96636
585.0	0.96549
585.2	0.96311
585.4	0.96028
585.6	0.95897
585.8	0.95783
586.0	0.95505
586.2	0.95553
586.4	0.95466
586.6	0.95441
586.8	0.9542
587.0	0.95519
587.2	0.95681
587.4	0.95938
587.6	0.96148
587.8	0.96247
588.0	0.96445
588.2	0.96731
588.4	0.96939
588.6	0.96964
588.8	0.97204
589.0	0.97346
589.2	0.97515
589.4	0.97393
589.6	0.97373
589.8	0.97501
590.0	0.97345
590.2	0.97024
590.4	0.9695
590.6	0.96983
590.8	0.9685
591.0	0.96692
591.2	0.96388
591.4	0.96193
591.6	0.95818
591.8	0.95576
592.0	0.95681
592.2	0.95313
592.4	0.95057
592.6	0.94925
592.8	0.94862
593.0	0.94893
593.2	0.94963
593.4	0.94878
593.6	0.94941
593.8	0.95126
594.0	0.95253
594.2	0.95233
594.4	0.9528
594.6	0.95525
594.8	0.96008
595.0	0.96061
595.2	0.96274
595.4	0.96572
595.6	0.96637
595.8	0.96679
596.0	0.96859
596.2	0.96987
596.4	0.97102
596.6	0.97097
596.8	0.97112
597.0	0.96929
597.2	0.9687
597.4	0.96684
597.6	0.96504
597.8	0.96286
598.0	0.96143
598.2	0.96084
598.4	0.95801
598.6	0.95641
598.8	0.95405
599.0	0.9532
599.2	0.95398
599.4	0.95487
599.6	0.95441
599.8	0.9565
600.0	0.95716
600.2	0.95769
600.4	0.95904
600.6	0.96202
600.8	0.96351
601.0	0.96637
601.2	0.9679
601.4	0.97063
601.6	0.97282
601.8	0.97308
602.0	0.9764
602.2	0.97689
602.4	0.97856
602.6	0.97907
602.8	0.97929
603.0	0.98025
603.2	0.9779
603.4	0.97464
603.6	0.97295
603.8	0.97016
604.0	0.96893
604.2	0.9675
604.4	0.96567
604.6	0.9638
604.8	0.96201
605.0	0.95967
605.2	0.96066
605.4	0.96031
605.6	0.95973
605.8	0.95813
606.0	0.95809
606.2	0.95878
606.4	0.95889
606.6	0.95981
606.8	0.96067
607.0	0.96241
607.2	0.96494
607.4	0.96526
607.6	0.96645
607.8	0.96743
608.0	0.96645
608.2	0.96765
608.4	0.96738
608.6	0.96629
608.8	0.96659
609.0	0.96531
609.2	0.96766
609.4	0.96676
609.6	0.96493
609.8	0.96316
610.0	0.96354
610.2	0.96315
610.4	0.96358
610.6	0.96091
610.8	0.95842
611.0	0.95852
611.2	0.9597
611.4	0.9584
611.6	0.9571
611.8	0.95605
